match_id,fecha,ronda,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
15526017,2026-04-12,4,América Mineiro,Grêmio Novorizontino,0,3,52%,48%,0.28,1.67,6,15,3,8,4,5,15,11,1,3,,,5,4,14,7,389,352,11,12
15526018,2026-04-12,4,Operário-PR,Cuiabá,0,0,59%,41%,0.96,0.43,13,11,3,2,2,1,17,18,2,5,0,1,2,3,15,14,437,301,13,14
15526016,2026-04-12,4,São Bernardo,Fortaleza,0,1,49%,51%,1.35,1.49,15,17,2,6,4,6,10,17,1,3,,,5,3,13,8,432,451,8,8
15526023,2026-04-12,4,CRB,Athletic Club,2,3,49%,51%,1.53,1.67,11,12,6,5,2,6,15,21,2,2,,,2,4,18,15,363,385,5,6
15526020,2026-04-12,4,Atlético Goianiense,Londrina,2,1,51%,49%,2.71,0.44,17,6,5,1,8,2,26,12,1,1,,,0,3,13,10,418,419,11,4
15526027,2026-04-18,5,América Mineiro,Sport Recife,0,0,50%,50%,1.26,0.35,17,9,6,0,8,3,14,15,1,4,,,0,6,15,15,316,324,7,8
15526032,2026-04-18,5,Náutico,São Bernardo,0,3,61%,39%,2.24,1.45,18,11,2,5,10,2,15,16,2,6,,,2,3,9,17,418,284,10,7
15526034,2026-04-18,5,Vila Nova FC,Operário-PR,2,1,45%,55%,1.27,1.01,10,7,4,3,3,6,22,7,7,2,,,2,2,14,13,304,366,8,5
15526031,2026-04-18,5,Avaí,Ponte Preta,1,2,61%,39%,0.65,2.33,12,12,2,8,5,4,16,16,4,2,,,6,1,12,18,471,306,7,8
15526033,2026-04-18,5,CRB,Juventude,0,1,57%,43%,1.16,1.31,15,8,6,2,5,2,15,19,4,2,1,0,1,6,11,14,459,356,9,9
15526025,2026-04-19,5,Botafogo-SP,Atlético Goianiense,1,1,55%,45%,1.02,1.24,12,10,4,3,7,5,14,14,2,3,,,2,3,17,18,353,283,6,10
15526028,2026-04-19,5,Londrina,Ceará,0,0,51%,49%,1.06,1.12,18,13,3,6,14,4,18,10,1,0,,,6,3,15,14,335,345,7,11
15526030,2026-04-19,5,Goiás,Cuiabá,0,2,66%,34%,0.29,1.39,8,11,0,4,4,4,15,26,2,2,,,2,0,11,14,510,265,7,11
15526029,2026-04-19,5,Fortaleza,Criciúma,3,2,45%,55%,0.55,0.85,14,6,4,3,4,3,18,16,3,2,,,0,3,13,9,340,426,9,14
15526026,2026-04-19,5,Grêmio Novorizontino,Athletic Club,2,1,63%,37%,1.99,0.72,20,7,7,2,11,1,11,15,1,4,0,2,1,5,7,12,504,304,4,6
