match_id,fase,fecha,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
16280815,"Liga 1, Clausura",2026-08-30,Sport Boys,Club Sporting Cristal,1,0,55%,45%,0.00,0.00,10,7,2,1,9,2,17,10,2,1,0,1,1,1,12,21,448,374,8,7
16281116,"Liga 1, Clausura",2026-07-17,Club Sporting Cristal,Deportivo Garcilaso,1,0,67%,33%,2.76,0.77,18,4,6,0,10,3,16,15,1,0,,,0,5,14,15,529,270,16,7
16281110,"Liga 1, Clausura",2026-07-18,Cienciano,Melgar,1,3,35%,65%,1.16,4.05,14,20,5,4,2,4,5,10,1,4,1,0,2,4,12,13,261,510,11,6
16281112,"Liga 1, Clausura",2026-07-18,CD Moquegua,Comerciantes Unidos,2,2,41%,59%,3.23,1.58,17,17,7,7,5,3,7,15,4,1,,,5,5,15,9,303,446,7,7
16281108,"Liga 1, Clausura",2026-07-18,Asociación Deportiva Tarma,Universitario de Deportes,1,2,59%,41%,0.97,1.68,14,14,4,6,2,4,8,12,1,1,1,0,4,3,9,12,425,302,7,4
16281114,"Liga 1, Clausura",2026-07-18,Club Atlético Grau,Universidad Técnica de Cajamarca,3,1,36%,64%,1.73,0.94,17,11,6,5,2,4,15,11,0,2,,,3,3,19,12,283,510,9,4
16281113,"Liga 1, Clausura",2026-07-18,Cusco FC,Alianza Atlético de Sullana,4,1,58%,42%,2.75,1.12,18,15,7,6,8,2,11,6,1,1,,,5,4,12,11,518,376,8,9
16281115,"Liga 1, Clausura",2026-07-19,Los Chankas CYC,Sport Boys,1,0,54%,46%,1.36,1.04,18,7,10,1,5,5,10,14,0,1,,,1,9,14,18,360,310,9,15
16281109,"Liga 1, Clausura",2026-07-20,Alianza Lima,Sport Huancayo,2,1,66%,34%,2.70,0.30,24,8,8,5,11,2,12,9,4,3,,,4,6,13,14,545,281,8,9
16281126,"Liga 1, Clausura",2026-07-24,Alianza Atlético de Sullana,Los Chankas CYC,3,1,53%,47%,2.19,2.08,17,16,5,7,2,6,18,11,1,1,0,1,6,2,17,21,350,310,18,1
16280780,"Liga 1, Clausura",2026-07-25,Universitario de Deportes,Cusco FC,2,1,48%,52%,1.50,0.76,17,9,5,3,3,4,7,12,1,3,,,2,2,18,15,436,466,15,10
16280778,"Liga 1, Clausura",2026-07-25,Sport Boys,Asociación Deportiva Tarma,2,0,53%,47%,2.81,0.58,16,8,6,1,6,2,10,9,4,2,1,0,1,4,16,12,370,330,10,8
16280781,"Liga 1, Clausura",2026-07-25,Sport Huancayo,Club Atlético Grau,2,0,64%,36%,2.90,0.38,27,10,8,2,10,2,10,5,1,1,0,1,2,7,11,11,477,281,6,6
16281117,"Liga 1, Clausura",2026-07-25,CD Juan Pablo II,Cienciano,2,0,51%,49%,1.48,0.55,16,7,7,1,7,5,8,12,0,3,0,1,1,5,15,16,388,378,15,14
16281128,"Liga 1, Clausura",2026-07-26,Melgar,Club Sporting Cristal,2,1,56%,44%,4.04,0.60,29,11,8,4,5,2,6,12,1,3,,,3,6,13,9,543,419,9,12
16281121,"Liga 1, Clausura",2026-07-26,Universidad Técnica de Cajamarca,CD Moquegua,0,0,70%,30%,1.12,0.40,14,12,5,4,7,1,14,15,3,1,,,4,5,12,12,616,276,7,14
16281122,"Liga 1, Clausura",2026-07-26,Comerciantes Unidos,Alianza Lima,2,2,64%,36%,1.08,2.14,15,16,6,6,1,2,17,12,2,4,,,4,4,12,11,485,273,10,4
16281120,"Liga 1, Clausura",2026-07-27,Deportivo Garcilaso,FC Cajamarca,2,1,45%,55%,1.37,1.06,12,18,8,5,2,3,17,12,2,0,0,1,4,6,19,11,376,461,11,9
16280787,"Liga 1, Clausura",2026-07-31,Los Chankas CYC,Comerciantes Unidos,3,2,37%,63%,1.84,1.49,14,22,6,6,5,7,16,15,4,2,1,0,4,3,12,11,247,420,5,4
16281125,"Liga 1, Clausura",2026-08-01,FC Cajamarca,Sport Huancayo,0,2,62%,38%,0.27,1.65,9,11,2,3,1,2,15,20,3,3,,,1,2,22,15,542,328,8,11
16280785,"Liga 1, Clausura",2026-08-01,Club Atlético Grau,Sport Boys,0,1,55%,45%,1.40,1.49,16,12,3,5,7,5,11,6,2,4,,,4,3,12,17,418,359,9,16
16280783,"Liga 1, Clausura",2026-08-01,Cusco FC,Universidad Técnica de Cajamarca,4,1,57%,43%,3.15,0.67,13,17,6,3,1,3,10,10,1,4,0,1,2,2,7,16,471,354,7,7
16280779,"Liga 1, Clausura",2026-08-02,Alianza Lima,Alianza Atlético de Sullana,3,1,75%,25%,2.51,1.57,20,8,5,4,8,3,6,10,2,2,0,1,3,3,12,14,538,182,11,7
16280784,"Liga 1, Clausura",2026-08-02,Club Sporting Cristal,CD Juan Pablo II,2,0,62%,38%,1.81,0.58,15,9,5,3,6,2,12,12,4,3,,,3,3,20,16,484,311,14,9
16281118,"Liga 1, Clausura",2026-08-02,Asociación Deportiva Tarma,Deportivo Garcilaso,0,1,61%,39%,0.64,2.26,8,13,2,3,6,5,18,11,3,1,1,0,2,2,17,16,331,204,7,9
16281123,"Liga 1, Clausura",2026-08-02,CD Moquegua,Melgar,0,0,29%,71%,0.61,0.47,11,9,0,1,3,5,10,10,2,0,,,1,0,15,8,255,634,13,16
16280786,"Liga 1, Clausura",2026-08-02,Cienciano,Universitario de Deportes,2,0,60%,40%,2.53,0.91,26,6,8,1,7,2,8,6,,,,,1,6,22,5,465,319,11,4
16280795,"Liga 1, Clausura",2026-08-06,Alianza Atlético de Sullana,Cienciano,1,0,42%,58%,2.81,1.22,17,12,5,6,5,2,15,11,3,3,,,6,4,11,13,292,416,11,4
16280798,"Liga 1, Clausura",2026-08-07,Sport Huancayo,Los Chankas CYC,1,1,67%,33%,3.54,0.36,27,7,7,2,12,2,12,8,3,5,,,1,6,21,9,418,214,7,8
16280789,"Liga 1, Clausura",2026-08-07,Comerciantes Unidos,Cusco FC,3,1,43%,57%,0.95,0.53,11,5,4,2,1,1,11,13,3,2,1,0,1,1,10,12,332,451,8,3
16280791,"Liga 1, Clausura",2026-08-08,Universitario de Deportes,Club Sporting Cristal,1,1,43%,57%,0.87,1.31,14,7,3,2,2,4,15,15,2,2,,,1,2,12,13,346,450,10,15
16022825,"Liga 1, Apertura",2026-05-11,Deportivo Garcilaso,Alianza Atlético de Sullana,2,1,55%,45%,1.83,0.63,15,13,7,5,7,2,10,10,3,1,,,4,6,12,15,399,320,11,8
16022823,"Liga 1, Apertura",2026-05-12,Sport Boys,Universitario de Deportes,0,0,76%,24%,1.26,0.28,17,7,5,0,3,2,15,11,3,0,0,1,0,5,12,12,542,168,9,4
16022831,"Liga 1, Apertura",2026-05-15,FC Cajamarca,Club Sporting Cristal,3,1,44%,56%,1.14,0.64,17,12,10,8,6,3,12,9,5,4,,,6,7,12,12,330,438,14,10
16022832,"Liga 1, Apertura",2026-05-16,Universitario de Deportes,Club Atlético Grau,0,1,63%,37%,1.27,0.33,15,5,3,1,8,0,8,11,2,2,1,0,1,3,15,16,455,270,7,6
16022835,"Liga 1, Apertura",2026-05-16,Melgar,Sport Huancayo,4,1,57%,43%,1.62,2.29,15,17,8,3,5,3,8,12,4,3,,,2,4,12,11,479,345,4,8
16022833,"Liga 1, Apertura",2026-05-16,CD Juan Pablo II,Alianza Atlético de Sullana,0,2,55%,45%,0.85,1.70,7,21,1,8,5,5,8,12,2,3,1,0,5,1,13,21,362,302,7,10
16022834,"Liga 1, Apertura",2026-05-16,Cienciano,Alianza Lima,0,1,58%,42%,0.96,0.70,16,8,2,6,7,1,7,10,1,3,1,0,5,2,12,11,344,270,8,9
