match_id,fase,fecha,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
15714347,"Liga 1, Apertura",2026-04-03,Alianza Atlético de Sullana,Club Atlético Grau,2,2,63%,37%,1.15,0.74,17,8,6,5,3,7,7,21,1,3,,,3,4,12,13,331,198,2,8
15714346,"Liga 1, Apertura",2026-04-03,Cienciano,Asociación Deportiva Tarma,3,2,44%,56%,2.37,1.79,10,16,6,6,4,4,18,11,2,4,0,2,4,3,21,11,266,342,14,6
15714349,"Liga 1, Apertura",2026-04-04,Deportivo Garcilaso,Sport Boys,3,2,63%,37%,1.24,0.77,20,5,4,2,2,2,14,15,2,3,,,0,1,5,10,473,283,14,12
15714348,"Liga 1, Apertura",2026-04-04,Melgar,Cusco FC,1,3,63%,37%,1.50,1.54,14,10,1,8,5,4,9,9,1,3,1,0,5,0,11,16,553,329,9,7
15714337,"Liga 1, Apertura",2026-04-05,Universitario de Deportes,Alianza Lima,1,0,51%,49%,0.63,0.73,10,11,5,1,3,2,17,12,3,3,,,1,4,24,9,342,329,14,10
15714351,"Liga 1, Apertura",2026-04-05,Sport Huancayo,Comerciantes Unidos,1,1,71%,29%,0.97,0.80,20,7,6,2,4,1,8,14,2,3,0,1,1,5,11,15,496,200,4,8
15716001,"Liga 1, Apertura",2026-04-05,CD Juan Pablo II,Universidad Técnica de Cajamarca,2,1,42%,58%,1.54,0.82,8,9,3,2,3,7,11,17,2,6,0,1,1,1,16,15,292,391,9,4
15716009,"Liga 1, Apertura",2026-04-06,FC Cajamarca,Los Chankas CYC,0,1,46%,54%,1.78,1.18,11,15,4,6,5,5,20,10,4,1,,,5,4,20,16,373,448,13,4
15881918,"Liga 1, Apertura",2026-04-14,CD Moquegua,CD Juan Pablo II,3,0,55%,45%,0.71,1.13,5,9,3,2,3,5,18,8,3,1,0,1,1,0,10,12,313,255,7,7
15881919,"Liga 1, Apertura",2026-04-14,Asociación Deportiva Tarma,Alianza Lima,0,1,79%,21%,0.53,0.51,16,8,2,3,3,3,11,7,2,3,,,2,2,9,9,554,145,6,11
15881791,"Liga 1, Apertura",2026-04-15,Sport Boys,Melgar,1,3,59%,41%,2.11,3.33,13,11,4,5,6,2,8,12,2,4,2,2,2,3,12,12,368,272,10,10
15881790,"Liga 1, Apertura",2026-04-15,Universidad Técnica de Cajamarca,Sport Huancayo,2,2,62%,38%,1.09,1.23,13,9,6,6,2,1,18,19,3,2,0,1,4,4,15,18,489,294,6,6
15885653,"Liga 1, Apertura",2026-04-17,Los Chankas CYC,Club Atlético Grau,2,0,57%,43%,1.80,1.54,15,13,5,6,7,2,10,17,3,1,,,6,2,16,15,404,307,7,7
15885655,"Liga 1, Apertura",2026-04-18,FC Cajamarca,Asociación Deportiva Tarma,2,2,37%,63%,1.16,1.30,9,14,2,8,3,5,12,7,1,2,,,5,1,18,9,267,463,6,7
15885654,"Liga 1, Apertura",2026-04-18,CD Juan Pablo II,Comerciantes Unidos,2,2,49%,51%,1.04,1.11,10,20,7,4,6,6,11,8,2,1,,,2,4,9,11,297,307,2,5
15885657,"Liga 1, Apertura",2026-04-18,Sport Huancayo,Deportivo Garcilaso,2,1,57%,43%,2.18,1.37,22,11,7,4,4,7,11,10,1,0,,,3,5,17,18,375,284,8,4
15885652,"Liga 1, Apertura",2026-04-19,Alianza Lima,Cusco FC,8,0,58%,42%,3.74,0.73,28,7,13,0,4,1,12,7,1,1,,,0,5,7,5,483,355,9,7
15885659,"Liga 1, Apertura",2026-04-19,Club Sporting Cristal,Universidad Técnica de Cajamarca,3,2,58%,42%,1.82,1.39,11,15,4,6,7,4,9,14,1,2,,,2,1,14,18,444,321,6,17
15885660,"Liga 1, Apertura",2026-04-19,Alianza Atlético de Sullana,Sport Boys,0,1,57%,43%,1.05,0.80,11,16,4,6,5,6,18,13,3,3,1,1,5,4,12,12,327,247,5,10
15885656,"Liga 1, Apertura",2026-04-19,Melgar,Universitario de Deportes,2,1,47%,53%,1.75,1.04,10,12,4,3,1,2,9,14,1,2,,,2,2,10,17,367,395,5,9
15885918,"Liga 1, Apertura",2026-04-20,Cienciano,CD Moquegua,2,1,60%,40%,1.92,0.14,23,6,6,3,5,1,10,7,1,1,,,2,4,18,6,380,275,8,14
15445907,"Liga 1, Apertura",2026-02-22,Club Atlético Grau,CD Juan Pablo II,1,2,54%,46%,1.78,1.36,12,12,4,6,7,5,13,5,1,2,1,1,4,3,13,16,400,339,9,13
15445915,"Liga 1, Apertura",2026-02-22,Cusco FC,Comerciantes Unidos,3,1,64%,36%,4.76,1.27,20,9,5,6,2,3,12,10,3,4,,,5,2,13,6,426,236,5,6
15447031,"Liga 1, Apertura",2026-02-23,CD Moquegua,Deportivo Garcilaso,1,0,32%,68%,0.43,0.52,6,14,2,2,3,7,16,12,3,5,,,2,1,19,18,203,421,7,7
15536568,"Liga 1, Apertura",2026-02-27,Alianza Atlético de Sullana,Asociación Deportiva Tarma,0,0,55%,45%,0.67,1.02,10,11,2,4,0,3,21,13,3,1,,,4,2,11,21,390,325,7,7
15536572,"Liga 1, Apertura",2026-02-27,Melgar,Los Chankas CYC,1,2,37%,63%,0.96,1.48,13,20,2,6,5,10,8,7,1,1,1,1,4,1,17,8,306,513,9,14
15536575,"Liga 1, Apertura",2026-02-28,Deportivo Garcilaso,Cienciano,2,3,55%,45%,1.85,3.02,12,17,6,8,4,6,6,15,1,2,,,6,4,6,9,280,228,11,9
15536567,"Liga 1, Apertura",2026-02-28,Sport Huancayo,Club Sporting Cristal,2,1,46%,54%,2.68,0.98,24,8,9,4,8,2,11,13,6,1,,,3,6,19,16,283,356,8,4
15536569,"Liga 1, Apertura",2026-02-28,Universidad Técnica de Cajamarca,Alianza Lima,0,1,45%,55%,0.56,0.60,8,8,4,2,4,7,12,10,2,2,1,1,1,4,18,14,319,380,4,4
15536573,"Liga 1, Apertura",2026-03-01,Sport Boys,CD Moquegua,0,0,70%,30%,1.77,0.90,19,15,5,5,2,6,10,17,2,4,,,5,5,16,17,481,203,10,7
15536574,"Liga 1, Apertura",2026-03-01,Comerciantes Unidos,Club Atlético Grau,3,1,44%,56%,2.31,1.19,19,15,6,6,4,8,7,15,5,3,,,5,3,14,11,268,319,6,7
15536929,"Liga 1, Apertura",2026-03-01,CD Juan Pablo II,Cusco FC,2,1,31%,69%,0.47,2.30,6,15,2,6,0,2,15,11,2,2,,,5,0,16,15,260,582,11,6
15536571,"Liga 1, Apertura",2026-03-01,Universitario de Deportes,FC Cajamarca,1,0,62%,38%,1.52,0.29,14,7,1,3,5,2,4,9,,,,,3,0,16,26,483,304,8,15
15590541,"Liga 1, Apertura",2026-03-06,Club Atlético Grau,FC Cajamarca,1,0,41%,59%,1.95,0.49,9,8,6,1,3,1,17,11,3,1,,,1,5,19,18,336,477,8,7
15590544,"Liga 1, Apertura",2026-03-07,CD Moquegua,Sport Huancayo,2,1,41%,59%,1.84,1.35,17,8,5,3,3,4,21,11,6,1,,,3,3,18,13,252,359,8,8
15590543,"Liga 1, Apertura",2026-03-07,Comerciantes Unidos,Universidad Técnica de Cajamarca,1,2,35%,65%,0.38,1.13,8,15,1,6,5,7,10,12,1,3,1,0,4,0,7,19,245,448,4,5
15590587,"Liga 1, Apertura",2026-03-07,Club Sporting Cristal,Alianza Atlético de Sullana,3,1,67%,33%,1.50,2.29,16,18,9,7,2,3,6,14,2,6,0,2,6,6,10,4,532,248,2,4
15590540,"Liga 1, Apertura",2026-03-08,Cusco FC,Deportivo Garcilaso,1,0,67%,33%,0.55,1.11,11,14,4,6,2,1,12,11,3,2,,,6,3,12,16,597,289,6,4
15590539,"Liga 1, Apertura",2026-03-08,Asociación Deportiva Tarma,CD Juan Pablo II,2,3,72%,28%,3.71,2.23,25,9,9,5,12,2,6,10,2,2,,,2,6,16,11,390,166,2,6
15590545,"Liga 1, Apertura",2026-03-08,Los Chankas CYC,Universitario de Deportes,3,1,38%,62%,1.11,1.16,9,13,6,4,0,9,11,12,2,2,1,0,3,2,8,7,329,504,5,10
15590542,"Liga 1, Apertura",2026-03-09,Cienciano,Sport Boys,3,1,59%,41%,2.99,0.38,13,8,6,3,3,4,11,6,2,2,,,2,3,19,14,421,292,13,8
15590586,"Liga 1, Apertura",2026-03-10,Alianza Lima,Melgar,3,1,50%,50%,4.10,1.80,22,12,10,6,3,4,7,7,3,2,,,5,7,11,12,353,354,15,6
15607093,"Liga 1, Apertura",2026-03-13,FC Cajamarca,Comerciantes Unidos,3,4,47%,53%,1.12,2.37,11,14,5,7,3,6,11,10,2,5,1,0,3,2,8,17,270,315,2,6
15607090,"Liga 1, Apertura",2026-03-14,Sport Huancayo,Asociación Deportiva Tarma,0,1,53%,47%,0.17,0.27,5,8,1,5,5,3,6,10,0,3,1,1,4,1,13,9,349,320,5,5
15607095,"Liga 1, Apertura",2026-03-14,CD Juan Pablo II,Los Chankas CYC,2,3,62%,38%,1.50,1.01,17,8,3,5,8,3,12,10,2,1,,,2,1,12,5,476,287,7,9
15607092,"Liga 1, Apertura",2026-03-14,Deportivo Garcilaso,Alianza Lima,1,1,32%,68%,0.35,1.17,7,14,3,3,1,3,13,12,4,1,1,0,2,2,16,15,200,429,18,6
15607094,"Liga 1, Apertura",2026-03-15,Universitario de Deportes,Universidad Técnica de Cajamarca,2,0,57%,43%,1.87,0.23,20,12,6,3,8,2,7,9,0,1,1,1,3,4,16,16,453,358,12,13
15607096,"Liga 1, Apertura",2026-03-15,Club Sporting Cristal,Sport Boys,3,0,57%,43%,1.88,0.74,16,13,6,4,4,3,7,5,2,1,,,4,3,10,14,464,343,4,8
15607091,"Liga 1, Apertura",2026-03-15,Melgar,Club Atlético Grau,0,0,67%,33%,0.67,1.36,17,12,4,3,6,5,9,15,1,0,,,3,4,11,8,486,233,5,6
15607097,"Liga 1, Apertura",2026-03-15,Alianza Atlético de Sullana,CD Moquegua,3,0,59%,41%,2.86,1.23,14,11,9,4,8,3,8,9,,,,,4,6,12,8,461,315,10,9
15607098,"Liga 1, Apertura",2026-03-15,Cusco FC,Cienciano,1,2,58%,42%,1.00,0.91,12,11,5,3,4,4,12,15,1,3,,,1,4,10,9,421,291,5,9
15362080,"Liga 1, Apertura",2026-01-31,CD Juan Pablo II,FC Cajamarca,3,3,54%,46%,2.01,1.75,10,12,6,4,4,4,7,15,3,5,0,1,1,3,9,7,402,349,12,9
15362082,"Liga 1, Apertura",2026-01-31,Melgar,Cienciano,2,0,49%,51%,1.84,0.82,12,13,7,3,9,9,17,10,3,0,,,3,5,9,18,301,307,13,10
15362090,"Liga 1, Apertura",2026-02-01,Deportivo Garcilaso,Club Sporting Cristal,1,1,47%,53%,1.16,1.05,16,14,5,5,3,3,15,11,2,3,,,4,4,14,13,367,414,15,8
15362077,"Liga 1, Apertura",2026-02-01,Alianza Atlético de Sullana,Cusco FC,1,0,23%,77%,1.22,0.26,14,8,3,0,3,3,8,6,2,1,,,0,2,9,10,198,699,14,9
15362084,"Liga 1, Apertura",2026-02-01,Universitario de Deportes,Asociación Deportiva Tarma,2,0,54%,46%,1.42,0.08,14,4,5,1,13,3,19,12,1,5,,,1,3,16,16,394,353,14,17
15371229,"Liga 1, Apertura",2026-02-02,Comerciantes Unidos,CD Moquegua,1,0,48%,52%,0.34,0.24,10,6,5,3,5,3,17,15,3,2,,,3,4,4,14,256,281,8,6
15438955,"Liga 1, Apertura",2026-02-06,CD Moquegua,Universidad Técnica de Cajamarca,2,3,32%,68%,1.29,3.63,6,22,2,8,1,7,12,10,2,3,1,0,5,0,11,18,233,488,13,11
15438954,"Liga 1, Apertura",2026-02-07,Asociación Deportiva Tarma,Sport Boys,1,0,54%,46%,1.65,0.29,17,11,7,2,4,5,10,11,3,2,,,2,6,11,14,365,307,11,7
15438846,"Liga 1, Apertura",2026-02-07,Club Atlético Grau,Sport Huancayo,0,0,59%,41%,1.56,0.19,14,5,4,2,5,3,17,7,2,1,,,2,4,16,21,503,358,10,15
15438843,"Liga 1, Apertura",2026-02-08,Cusco FC,Universitario de Deportes,1,1,65%,35%,2.31,1.10,19,12,6,5,6,2,12,10,0,4,,,4,5,9,7,574,308,2,4
15438836,"Liga 1, Apertura",2026-02-08,Club Sporting Cristal,Melgar,1,2,65%,35%,1.75,1.55,20,12,4,3,8,5,10,7,2,5,1,1,1,3,9,14,413,236,6,5
15438841,"Liga 1, Apertura",2026-02-08,Los Chankas CYC,Alianza Atlético de Sullana,1,0,59%,41%,2.66,0.62,14,10,4,5,5,3,11,12,2,2,,,5,3,16,11,438,296,10,18
15438840,"Liga 1, Apertura",2026-02-08,Cienciano,CD Juan Pablo II,6,1,51%,49%,3.88,3.00,18,11,11,4,4,6,16,8,2,1,,,3,5,14,9,249,253,6,3
15438847,"Liga 1, Apertura",2026-02-08,Alianza Lima,Comerciantes Unidos,2,1,68%,32%,3.26,0.38,21,6,8,1,8,2,13,7,2,3,,,0,5,16,17,390,192,7,7
15438956,"Liga 1, Apertura",2026-02-09,FC Cajamarca,Deportivo Garcilaso,1,1,43%,57%,0.45,1.28,6,15,2,6,3,6,23,9,7,2,,,5,1,13,8,291,392,9,6
15445913,"Liga 1, Apertura",2026-02-13,Universidad Técnica de Cajamarca,Cusco FC,1,0,37%,63%,2.33,1.20,22,11,5,4,7,7,3,6,1,2,,,4,4,16,18,295,496,9,5
15445903,"Liga 1, Apertura",2026-02-14,Universitario de Deportes,Cienciano,2,1,63%,37%,1.71,1.71,15,12,4,6,4,1,14,10,4,3,,,4,2,10,21,493,290,7,8
15445916,"Liga 1, Apertura",2026-02-14,Deportivo Garcilaso,Asociación Deportiva Tarma,1,0,53%,47%,1.11,0.15,10,6,3,1,5,4,16,8,5,2,0,1,1,2,21,20,437,392,10,10
15446513,"Liga 1, Apertura",2026-02-14,CD Juan Pablo II,Club Sporting Cristal,0,2,38%,62%,1.12,3.32,12,24,4,7,1,9,8,16,3,2,1,0,5,4,13,17,283,447,5,5
15445911,"Liga 1, Apertura",2026-02-14,Sport Boys,Club Atlético Grau,1,0,39%,61%,1.25,0.45,14,8,4,0,7,2,12,15,3,2,,,0,3,18,16,293,476,9,3
15445909,"Liga 1, Apertura",2026-02-15,Alianza Atlético de Sullana,Alianza Lima,0,0,42%,58%,0.82,0.92,9,12,4,2,1,5,15,9,4,2,,,1,4,12,6,257,356,7,7
15445908,"Liga 1, Apertura",2026-02-15,Sport Huancayo,FC Cajamarca,2,0,47%,53%,1.61,0.68,10,7,2,1,5,6,14,18,2,2,2,0,1,1,14,15,299,341,12,7
15445914,"Liga 1, Apertura",2026-02-15,Comerciantes Unidos,Los Chankas CYC,1,1,55%,45%,0.96,1.51,12,8,5,3,4,0,7,11,3,3,,,2,4,17,7,375,311,14,7
15445912,"Liga 1, Apertura",2026-02-15,Melgar,CD Moquegua,4,0,73%,27%,3.71,0.14,14,7,5,1,3,5,11,10,1,3,,,1,1,7,10,545,192,10,10
15445904,"Liga 1, Apertura",2026-02-21,Alianza Lima,Sport Boys,1,0,60%,40%,1.77,0.16,14,7,4,1,10,2,18,12,2,3,,,1,2,16,20,450,299,6,8
15446515,"Liga 1, Apertura",2026-02-21,FC Cajamarca,Melgar,3,1,57%,43%,0.48,0.72,14,8,6,3,5,7,11,13,3,3,,,2,3,13,9,419,309,7,10
15445906,"Liga 1, Apertura",2026-02-21,Club Sporting Cristal,Universitario de Deportes,2,2,66%,34%,2.60,1.49,27,8,7,4,8,6,13,14,4,2,,,2,5,6,8,514,269,13,9
15445910,"Liga 1, Apertura",2026-02-22,Cienciano,Alianza Atlético de Sullana,1,1,58%,42%,1.03,0.75,12,12,3,3,3,5,7,12,2,0,,,2,2,9,14,446,333,6,9
15446514,"Liga 1, Apertura",2026-02-22,Asociación Deportiva Tarma,Universidad Técnica de Cajamarca,2,2,59%,41%,1.68,1.99,16,14,7,10,7,4,10,15,1,6,1,0,8,5,9,10,369,267,9,6
15445905,"Liga 1, Apertura",2026-02-22,Los Chankas CYC,Sport Huancayo,3,2,51%,49%,1.68,1.96,12,9,5,4,4,2,8,10,3,1,,,2,2,14,16,318,312,10,14
15362086,"Liga 1, Apertura",2026-01-30,Sport Huancayo,Alianza Lima,1,2,64%,36%,0.49,0.87,13,7,5,3,5,1,9,18,2,3,,,1,4,14,11,438,254,10,6
15362081,"Liga 1, Apertura",2026-01-30,Universidad Técnica de Cajamarca,Club Atlético Grau,2,0,45%,55%,0.33,0.28,7,7,4,2,2,2,9,7,1,1,,,2,2,15,9,360,448,13,9
15362094,"Liga 1, Apertura",2026-01-31,Sport Boys,Los Chankas CYC,1,1,63%,37%,1.32,0.52,17,9,4,3,1,3,17,14,1,3,,,2,3,19,23,462,268,6,6
